Screen Name,Text,Language,Tweet Type
Necroscope_II,"Ruscy pederaści znaleźli niezawodny, niczym szwajcarski zegarek, sposób na odparcie #Ukraina kontrofensywy: zaczęli nosić na froncie ikonę podarowaną przez chujło #Putin  😁
 Z dumą informuje o tym cała agencja TASS #Rosja .

Piszą: „W przededniu kontrofensywy Ukrainy 
1/2 https://t.co/iIVtChBQRl",pl,Tweet
ingles_bulldog,"💥🇷🇺Tropas Ucranianas sob fogo em Artemovsk. 

#Artemovsk #Ukraine #UkraineRussiaWar #Zelensky #Putin #UkraineWar #BakhmutHolds https://t.co/dYIpjaNKe0",pt,Tweet
RHIB28,"Ich kann mir als Nichtmilitär ja eine Menge #JamesBond-Scheiß vorstellen,aber nicht, 
dass #Putin,#Wagner-Truppe #Prigoschin&amp; #Kadyrow sich öffentlich zoffen,ob, wer od. mit welcher Munition Bachmut/Artjomowsk einnimmt.
Schön illustriert von vermeintlichen Phosphorbombardierungen https://t.co/YQLY5MckOY",de,Tweet
LOrion,#INDIA LOVES RUSSIA.. will #Putin take it over next? https://t.co/F7rAXtRZXb,en,Tweet
wRLMyxE7ZEr5CKr,"ロシアの人達へ。

決心してください。

団結してください。

プーチンに抵抗してください。

子供達のため

ロシアのため

#Ukraine #Russia #Putin #NoWar #StopWar https://t.co/EDyhXXFUQM",ja,Tweet
wRLMyxE7ZEr5CKr,"to Russians.
make up your mind
Please unite.
Resist Putin.
for childrenfor Russia
#Ukraine #Russia #Putin #NoWar #StopWar https://t.co/76hRFMUrnF",en,Tweet
Samstwitch_Sam,🇷🇺 MOSCOW: Russia and US on verge of ‘open armed conflict’ – It is time for Washington to think about its own safety! Deputy Foreign Minister Sergey Ryabkov has warned. ARTICLE: https://t.co/N1brktnnCU #Russia #DroneAttack #Kremlin #Putin #Ukraine #USA https://t.co/B0qjXNCfod,en,Tweet
10WallStreet,#BakhmutMeatGrinder is Over...So Far No Sign of #CounterOffensive...#msnbc #foxnews #nytimes #cnn #wsj #cnbc #politico #huffpost #newsmax #gop #npr #fox #nyt #wapo #nbc #cbs #NATO #EU #g7 #drudge #bloomberg #kiev #germany #russia #Zelensky #AzovBattalion #bbc #china #putin #biden https://t.co/mWYwq0VtTq,en,Tweet
fornalutxenca,"Wer #Putin hasst, soll das meinetwegen tun. Aber was bitte haben die mit ihm zu tun, die bei der Befreiung Berlins ihr Leben lassen mussten?! Dass deren Gräber geschändet werden, ist einfach widerwärtig + der Beweis: Es geht in Wahrheit nur um den ""guten"" alten #Russenhass. https://t.co/uGCCoK0zoV",de,Tweet
MilitarPlus,"El Grupo Wagner amenaza con dejar Bajmut

Síguenos en todas las redes como #MilitarPlus 🪖📰

#wagner #russia #ucrania #guerra #warzone #YevgenyPrigozhin #municion #Putin #Kremlin #zelensky #AltoManto #Urgente #UltimaHora #COD #bakhmut #Bajmut #URSS #logistica #UltimoMinuto https://t.co/sYRUKlEoM6",es,Tweet
MapRussia76095,"Battle of #Bakhmut, May 05th, 2023 https://t.co/A6tSdgOrSc via @YouTube 

#ukrainewar #ukrainerussia #putin #zelensky #artemivsk",en,Tweet
notoutvoted,#RussiaGoHome #Putin #russia #fakenews #propaganda https://t.co/S3YVgqJgGc,und,Tweet
wRLMyxE7ZEr5CKr,"#Russia の兵隊達よ #Putin に従うな！
直ちに武器を捨て家族の待つ家に帰れ！
そして家族揃って温かい晩御飯を食べなさい。
あなたの事を心から心配する両親、兄弟、嫁と子供
恋人、友達に寄り添いなさい。
Russiaの主役は、あなたと家族です。
戦争犯罪人のputinではない
#Ukraine #NoWar #StopWar",ja,Tweet
ingles_bulldog,"🇷🇺💥 Imagens do trabalho de combate das tripulações dos helicópteros de ataque Mi-28n das Forças Aeroespaciais Russas

#RussianArmy #UkraineWar #Ukraine #Zelensky #Putin #WagnerGroup https://t.co/oLUQzlUd9v",pt,Tweet
shfanews_net,"عـــــــاجل :
سماع دوي إنفجار في المنطقة الغربية من مدينة نابلس.
-
#نابلس #فلسطين #جنين #القدس #غزة #الخليل  #خضر_عدنان #الاحتلال #عرين_الاسود #حوارة #الاتحاد_التعاون #السعودية #السودان #البنزين #الخميس_الونيس #سكربت٣ #Quito #بوتين #الكويت  #Putin #السوبر_للجمهور_يا_اهلي #زلزال",ar,Tweet
KageakiYama,"Wagner's Prigozhin seems to have begun to realize that the real enemy is not Ukraine, but Putin's government officials.

#Wagner   #Prigozhin
#Putin   #Russia   #Ukraine",en,Tweet
ozirl2016,"@DefenceU @SOF_UKR PHOSPHORUS! 
So inhuman. So indecent. So very morally wrong.
#Putin  you and your ilk will burn in HELL for these atrocities 
#PutinWarCrimes 
#RussiaIsaTerroristState  #GenocideOfUkrainians 
#RussiaIsANaziState",en,Reply
