Screen Name,Text,Language,Tweet Type
enordye2,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
Zhou_Li_CHN,"I am here in #London. 
The whole city is ready for #CoronationDay !  President #XiJinping’s special representative Vice President #HanZheng will attend the King’s coronation ceremony on May 6.

the photo is CC:@AmbNong https://t.co/fHqXSm61ar",en,Tweet
onceuponatime7,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
OrzLord,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
Pangea_84,@Canellelabelle W #XiJinping,und,Reply
Pangea_84,@ggiulss E questi dovrebbero essere i sinistroidi. Ma li mortacci . W #XiJinping !,it,Reply
kingtubby1Oz,"@YaxueCao Fallen angels redeem themselves on the farm.
Subtitled: Lust in the Dust. Directed by #XiJinping",en,Reply
rocio_union,"RT @FAFierroP : Un barco chino con un cargamento de 600 bultos de fentanilo fue detectado por la @SEMAR_mx  en el puerto de Lázaro Cárdenas, informó el Presidente @lopezobrador_ . Adelantó que reportará esto a #XiJinping .
#Fentanilo #China @potus
https://t.co/Nd1f1I9BJT",es,Retweet
yurdanerISKI,"The head of the Russian #Wagner mercenaries #Prigozhin announced the withdrawal of his troops from #Bachmut for May 10th. 
What do you think, is it true or a tactical game by #Putin?
#UkraineWillWin #Russia #China #UkraineWar #Zelensky #Biden #XiJinping #Erdogan #Nato  #COVID19",en,Tweet
johnwickrules,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
C21Noticias,"🔴La @SEMARmx detectó en Michoacán un cargamento de origen chino con 600 bultos de resina de combustible con #fentanilo, informó el @AlmiranteSrio.

➡️ @lopezobrador_ enviará una carta a su homólogo de China, #XiJinping, con información sobre el hallazgo.

https://t.co/VYuUCjlOVA",es,Tweet
DWJarvis1,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
ScottSneetzle,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
MarreiH,"RT @Adrian11192493 : Das chinesische Horror-Regime agiert immer frecher. Die Weltherrschaft wird angestrebt. Eine Welt, in der niemand mehr frei ist &amp; alles überwacht wird. Und wir versuchen weiter naiv &amp; gierig mit #Peking zu dealen &amp; verhökern Infrastruktur &amp; Knowhow. #China #XiJinping https://t.co/yrC8CpufbD",de,Retweet
michael29755064,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
NinjaGrandma5,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
Kat17763,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
Maryingold1,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
jfduartea,"RT @FAFierroP : Un barco chino con un cargamento de 600 bultos de fentanilo fue detectado por la @SEMAR_mx  en el puerto de Lázaro Cárdenas, informó el Presidente @lopezobrador_ . Adelantó que reportará esto a #XiJinping .
#Fentanilo #China @potus
https://t.co/Nd1f1I9BJT",es,Retweet
SharonJ67654935,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
LiberateVietnam,"@mattgaetz Dear Sir Gaetz,

#China is NOT laughing.

#XiJinping is readying for WAR. https://t.co/G77erNGm0w",en,Reply
Kimpatriot45,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
billlawr,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
Amer1stHunter,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
TioMksbrasil,@Weltwoche Er glaubt an seinen eigenen Untergang in Begleitung von #putin #Trump #XiJinping #China #Erdogan  #Orban etc.,de,Reply
Jessie37028928,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
speculari78,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
FAFierroP,"Un barco chino con un cargamento de 600 bultos de fentanilo fue detectado por la @SEMAR_mx  en el puerto de Lázaro Cárdenas, informó el Presidente @lopezobrador_ . Adelantó que reportará esto a #XiJinping .
#Fentanilo #China @potus
https://t.co/Nd1f1I9BJT",es,Tweet
e1969ramirez,"RT @lajornadaonline : #LaMañanera @lopezobrador_ adelantó que enviará una nueva carta al presidente chino #XiJinping, para plantearle, de manera respetuosa, la existencia de este cargamento. https://t.co/qQviFPKW3t",es,Retweet
POETJINGWA,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
olehonysko,"RT @MarianKamensky1 : PRIGOSCHIN WILL NACH HAUSE
Bitte lesen:
https://t.co/ZjTWT5wfVA
https://t.co/VusIgU38Hx
https://t.co/MHSFcJzyGa
https://t.co/2ME3NnqN0p #Omikron #XiJinping #Ukraine #Putin https://t.co/4JIHBrhjS3",de,Retweet
lilidongdo71572,"RT @GordonGChang : #China’s regime will use the amendments to its Espionage Law to attack every foreign business, either now or in the future. This is part of #XiJinping’s return to #Maoism. #CCP @milesyu10 https://t.co/0yZkbTo17g",en,Retweet
AnnaLi90218756,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
Coollif79258697,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
tikivtwit,"RT @MarianKamensky1 : PRIGOSCHIN WILL NACH HAUSE
Bitte lesen:
https://t.co/ZjTWT5wfVA
https://t.co/VusIgU38Hx
https://t.co/MHSFcJzyGa
https://t.co/2ME3NnqN0p #Omikron #XiJinping #Ukraine #Putin https://t.co/4JIHBrhjS3",de,Retweet
taquinepasmamie,"RT @reseau_internat : En changeant la géopolitique sous-jacente du continent grâce à cette intégration commerciale, Pékin gagne un niveau de contrôle jamais vu au cours des mille dernières années
#Chine #ÉtatsUnis #Taïwan #XiJinping #multipolarité

https://t.co/afFE25W86S",fr,Retweet
PatReed61587873,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
Hakatoi_,@iiTzDeann Hey @EmmanuelMacron Said 🖕 The King to #XiJinping and Made a Deal for the Island 😁🤯,en,Reply
Jmo_Bitty,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
DENNISRBROOKS1,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
Jackson35883938,"@GordonGChang #XiJinping is turning #China into the world’s largest prison ~OMG Look like Hell 🤣
What Gordon told you is so true 🐷 ! Must listen whatever he talk about China 🤪
https://t.co/OwlBYH9LA2",en,Reply
bman450q,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
NewtonLeroy1,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
AnamjemWAK,"@TheDemocrats @JoeBiden @POTUS still have $44 billion aids to Ukraine in Budget 2023? Spent $Billions non return? But facing severe economy &amp; financing crisis in country! Biden must stop poking nose in foreign conflicts! 
The direct conflicts with @KremlinRussia_E  @Real_XiJinping_ sound security Alert!",en,Reply
d_oversole,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
jerZboyUSA,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
CTCMedios,". @lopezobrador_ solicitará nuevamente el apoyo de #XiJinping para intentar frenar el tráfico de fentanilo hacia #México 🇲🇽💊
https://t.co/a7Egrk8aOM",es,Tweet
NicNicolaouSoCa,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
oso_icy,"RT @MarianKamensky1 : PRIGOSCHIN WILL NACH HAUSE
Bitte lesen:
https://t.co/ZjTWT5wfVA
https://t.co/VusIgU38Hx
https://t.co/MHSFcJzyGa
https://t.co/2ME3NnqN0p #Omikron #XiJinping #Ukraine #Putin https://t.co/4JIHBrhjS3",de,Retweet
ThomasGJameson1,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
AnaColm79155432,RT @SputnikMundo : AMLO presume pruebas de que el #fentanilo viene de #China y enviará otra carta a #XiJinping https://t.co/cqaXymULxu https://t.co/br5tD73pAH,es,Retweet
steventduffy,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
Iluminismohuman,"RT @Adrian11192493 : Das chinesische Horror-Regime agiert immer frecher. Die Weltherrschaft wird angestrebt. Eine Welt, in der niemand mehr frei ist &amp; alles überwacht wird. Und wir versuchen weiter naiv &amp; gierig mit #Peking zu dealen &amp; verhökern Infrastruktur &amp; Knowhow. #China #XiJinping https://t.co/yrC8CpufbD",de,Retweet
bigbangrc,RT @GordonGChang : #XiJinping is turning #China into the world’s largest prison.,en,Retweet
EverywhereRoyIs,"@GordonGChang #XiJinping is turning the USA into the world's largest prison with the collusion of the Biden crime family.

FTFY",en,Reply
