Screen Name,Text,Language,Tweet Type
RIP_XiJinPing,@DudDuoduo 我只希望有人爱我😭,zh,Reply
SputnikMundo,AMLO presume pruebas de que el #fentanilo viene de #China y enviará otra carta a #XiJinping https://t.co/cqaXymULxu https://t.co/br5tD73pAH,es,Tweet
AJVCase,"DAY 2056 Why haven’t #KlausSchwab &amp; #BillGates &amp; #XiJinping &amp; #Fauci &amp; #Obama &amp; #HenryKissinger &amp; all #newworldorder Minions been indicted &amp; arrested for their Roles in the #CovidHoax &amp; their continued Lies &amp; Promoting of Fear,Censorship,Medical Tyranny &amp; #VaccineDeath!#AlexJones",en,Tweet
JohnnieOil,@JL50505 @RealAndyLeeShow get out of #Canada #CCP #China is the real virus infected the planet #XiJinping must stand trial for crimes against humanity https://t.co/mvC1SjbOpf,en,Reply
Noreste_Net,"#México || #AndrésManuelLópezObrador enviará una nueva carta al presidente de China, #XiJinping, para solicitar la ayuda de su gobierno en el combate al #tráficodefentanilo
🇲🇽🇨🇳👇
https://t.co/Jp46xSGJAL",es,Tweet
lajornadaonline,"#LaMañanera @lopezobrador_ adelantó que enviará una nueva carta al presidente chino #XiJinping, para plantearle, de manera respetuosa, la existencia de este cargamento. https://t.co/qQviFPKW3t",es,Tweet
wangwu_wu,"President #XiJinping, also general secretary of the Communist Party of China (CPC) Central Committee and chairman of the Central Military Commission, has always had high expectations for the nation's young generation.

https://t.co/wRGa3vtO6m",en,Tweet
Modifiedzerx,@jenarovillamil @lopezobrador_ @AlmiranteSrio ¡Excelente!.  Con pruebas en mano veremos qué dice el tal #XiJinping ...,es,Reply
Lanaroske1,"@EevaPaavilainen @MFA_China @AmbLiuXiaoMing @AmbCuiTiankai @Amb_ChenXu @Amb_Yiming @Ambassador_Liu @CGTNOfficial 
#President #Xijinping 
这些网上的猫咪折磨者正在羞辱你的国家！这些人需要被阻止！请制定#Animalprotectionlaws，并追究这些肇事者的责任

谢谢 https://t.co/HK1zPRqZM6",zh,Reply
MiddleClassMike,"@SecBlinken @POTUS ⁦@Real_XiJinping_⁩ ⁦@KremlinRussia_E⁩

The time for scoffing at the Chinese suggestion of peace talks has passed.
America wants to initiate high level discussions with China, hopes China will push Putin towards a peace settlement with Ukraine! https://t.co/HGo3Emy75T",en,Tweet
carpaciao,#guatamala #Vulcano #Ukraine #CME #Solar #Poland #Universe #Biden #Putin #WEF #Thailand #NATO #NASA #Tornado #ClimateChange #Greta #KlausSchwab #Satellite #Revelations #China #XiJinping #Sunday #MagneticPoleShift Sunday 7th of May the sun explosion might reach #Earth https://t.co/SFIbG8xdQS,en,Tweet
OnceNoticiasTV,"🟢 #ConferenciaPresidente | Al respecto, el Ejecutivo Federal aseguró que enviará una carta al presidente de #China, #XiJinping, para informarle del decomiso, con la finalidad de que colabore en el combate al tráfico de #fentanilo.

#OnceNoticias https://t.co/mT3IpgGtrk",es,Reply
GHEORGHESan7,"#XiJinping's #China sits one place above #NorthKorea, while #HongKong's independent #media is consigned to #history.
#TakeDowntheCCP
#FreeTibet #FreeHongKong #FreeChina 
#News #Știri #NATO #ONU #EUROPA 
#București #Romania #Chișinău 
https://t.co/lxDfslBhEK",en,Tweet
Nostrum777,@protect_taiwan XiJinping c'est plutôt le pote a @JustinTrudeau,fr,Reply
IamOSFA,"Fact... #China #XiJinping @MFA_China r giving weapons to #Putin n apparently micro chips

Fact...Ray-Ban clad @POTUS talked of ""serious repercussions"" if #China gives weapons to @mfa_russia not to mention micro chips - a clear violation of sanctions

and we wait...

@ErinBurnett https://t.co/8rqsRaGgou",en,Tweet
IamOSFA,"The #China clown show...starring #CCP @MFA_China
@ChinaAmbUN

You folks need to beat a different drum

Blaming the west for all the worlds ill's all the time is laughable and pathetic...not to mention childish. 

Thanks 4 playing #XiJinping proven coward n liar

@ErinBurnett @CNN https://t.co/cqhVvGJiov",en,Tweet
ActivistIntl,Oppression is powerful to #Dictatorships including #XiJinping and all other oppressive countries #Beijing #Russia #IsraeliOccupation https://t.co/MoIBClfWeo,en,Tweet
IamOSFA,"#StandWithTaiwan 

@POTUS @EU_Commission Support #Taiwan against the tyranny and oppression that is #XiJinping @MFA_China @ChinaAmbUN #CCP 
 
Democracy wins out eventually.

(Sorry little buddy Zhang...going be a rough patch for a bit)

@ErinBurnett @wolfblitzer @XHNews @cnni https://t.co/O8cHPnwX8A",en,Tweet
IamOSFA,"The #Russia clown show...starring @RussiaUN @mfa_russia @MedvedevRussiaE @Dpol_un #XiJinping @MFA_China @ChinaAmbUN
 
#Putin is a fraud
#XiJinping is a fraud
#Putin is a liar
#XiJinping is a lair

2 peas in a pod...self professed dictators n best friends

@ErinBurnett @VRSoloviev https://t.co/AYwZJTIJEJ",en,Tweet
xijinping_koko,@ecenggo1500 @0tk0il Suruh nyevong,in,Reply
